title,type,place_name,lat,lng,interest_tags,price_krw,open_time,close_time,closed_days,schedule_text,org,source
시립도서관에서 느긋한 오후,상시형,춘천시립도서관,37.8619683,127.7550161,학습·어학,0,09:00,18:00,,운영시간 내 자유 이용 (09:00~18:00),춘천시,수기씨드
그림책과 커피 한나절,상시형,담작은도서관,37.8719320,127.7315150,학습·어학;문화·공연,0,10:00,18:00,월,운영시간 내 자유 이용,춘천시,수기씨드
국립춘천박물관 상설전 관람,상시형,국립춘천박물관,37.8637672,127.7539316,문화·공연,0,10:00,18:00,월,상설전시 자유 관람,국립춘천박물관,수기씨드
춘천미술관 전시 산책,상시형,춘천미술관,37.8824455,127.7312327,문화·공연;사진·미디어,0,10:00,18:00,월,전시 자유 관람,춘천문화재단,수기씨드
애니메이션박물관 나들이,상시형,애니메이션박물관·토이로봇관,,,문화·공연;사진·미디어,5000,10:00,18:00,월,상설관 자유 관람,강원정보문화산업진흥원,수기씨드
김유정문학촌 실레마을 걷기,상시형,김유정문학촌,37.8193600,127.7167700,문화·공연;자연·나들이,2000,09:30,18:00,월,문학촌·실레이야기길 자유 관람,춘천시,수기씨드
공지천 의암공원 산책,상시형,공지천 의암공원,37.8739184,127.7070110,자연·나들이;운동·건강,0,06:00,22:00,,야외 — 자유 이용,춘천시,수기씨드
약사천 물길 산책,상시형,약사천 산책로,37.8734749,127.7269978,자연·나들이;운동·건강,0,06:00,22:00,,야외 — 자유 이용,춘천시,수기씨드
소양강스카이워크 걷기,상시형,소양강스카이워크,37.8939621,127.7234426,자연·나들이;사진·미디어,2000,10:00,18:00,,입장 후 자유 관람,춘천시,수기씨드
춘천인형극박물관 관람,상시형,춘천인형극박물관,37.9208919,127.7201288,문화·공연,5000,09:00,18:00,월,상설전시 자유 관람,춘천인형극제,수기씨드
육림고개 골목 사진 산책,상시형,육림고개,37.8772100,127.7304400,사진·미디어;요리·먹거리,0,10:00,20:00,,골목 자유 산책,—,수기씨드
봉의산 둘레 걷기,상시형,봉의산 산책로,,,운동·건강;자연·나들이,0,06:00,20:00,,야외 — 자유 이용,춘천시,수기씨드
낭만시장(중앙시장) 골목 구경,상시형,춘천 낭만시장,,,요리·먹거리;사진·미디어,0,09:00,20:00,,시장 골목 자유 산책,—,수기씨드
춘천풍물시장 먹거리 산책,상시형,춘천풍물시장,,,요리·먹거리,0,09:00,20:00,,상설시장 자유 산책,—,수기씨드
명동 브라운길 거리 산책,상시형,춘천 명동거리,,,사진·미디어;요리·먹거리,0,10:00,21:00,,거리 자유 산책,—,수기씨드
도립화목원 식물 산책,상시형,강원특별자치도립화목원,,,자연·나들이,1000,09:00,18:00,월,수목원 자유 관람,강원특별자치도,수기씨드
에티오피아 한국전 참전기념관 관람,상시형,에티오피아 한국전 참전기념관,,,문화·공연;학습·어학,0,09:00,18:00,월,전시 자유 관람,춘천시,수기씨드
막국수체험박물관 견학,상시형,춘천막국수체험박물관,37.9487830,127.7497520,요리·먹거리;공예·만들기,1000,10:00,17:00,월,전시 관람(체험은 별도),춘천시,수기씨드
KT&G 상상마당 춘천 둘러보기,상시형,KT&G 상상마당 춘천,37.8741327,127.7023584,문화·공연;사진·미디어,0,10:00,19:00,,아트센터·전시 공간 자유 관람,KT&G,수기씨드
춘천향교 돌아보기,상시형,춘천향교,,,문화·공연;학습·어학,0,09:00,17:00,,경내 자유 관람,—,수기씨드
공지천 조각공원 산책,상시형,공지천 조각공원,,,자연·나들이;사진·미디어,0,06:00,22:00,,야외 — 자유 이용,춘천시,수기씨드
소양호 청평사 나들이,상시형,청평사,,,자연·나들이;문화·공연,2000,09:00,17:00,,경내 자유 관람 — ⚠버스·배편 접근성 확인 필요,—,수기씨드
